job_level,performance_rating,job_role,age,job_satisfaction,company_size,employee_id,leadership_opportunities,company_reputation,marital_status,overtime,employee_recognition,attrition,education_level,gender,number_of_promotions,years_at_company,innovation_opportunities,work_life_balance,distance_from_home,remote_work,monthly_income,number_of_dependents,age_group,commute_distance,years_per_promotion,loyalty_bucket,income_tier,has_dependents
Entry,Average,Education,42,High,Small,71382,0,Good,Married,0,High,0,Master’s Degree,Female,0,6,1,Fair,75,1,5224,4,36-45,Long,6.0,Average Promotion,Low Income,Has Dependents
Entry,Average,Finance,43,Very High,Large,17095,0,Good,Married,1,Low,1,Bachelor’s Degree,Male,0,26,1,Poor,14,0,10301,2,36-45,Short,26.0,Stagnant (No Promos),High Income,Has Dependents
Mid,High,Technology,28,High,Medium,50751,0,Excellent,Married,1,High,0,Master’s Degree,Female,0,6,0,Good,40,0,7280,0,26-35,Medium,6.0,Average Promotion,Middle Income,No Dependents
Mid,Below Average,Education,39,High,Medium,57639,0,Fair,Married,1,High,0,Associate Degree,Female,0,15,0,Good,42,0,3308,2,36-45,Medium,15.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Technology,39,High,Small,58578,0,Good,Married,0,Low,0,Master’s Degree,Male,3,13,0,Fair,38,0,10193,0,36-45,Medium,3.25,Fast Promotion,High Income,No Dependents
Mid,Average,Education,56,Low,Large,57472,0,Fair,Single,1,Low,1,Master’s Degree,Female,0,2,0,Good,65,0,2938,0,56+,Medium,2.0,Fast Promotion,Low Income,No Dependents
Entry,High,Technology,29,High,Medium,2757,0,Good,Single,1,Low,0,High School,Female,0,19,0,Excellent,33,0,9463,2,26-35,Short,19.0,Stagnant (No Promos),High Income,Has Dependents
Entry,High,Media,31,High,Medium,43769,0,Good,Single,1,High,1,High School,Male,1,19,0,Good,32,0,6015,0,26-35,Short,9.5,Average Promotion,Low Income,No Dependents
Entry,Average,Education,59,High,Medium,11982,0,Fair,Single,0,High,1,Bachelor’s Degree,Female,2,8,0,Poor,95,0,3417,3,56+,Long,2.6666666666666665,Fast Promotion,Low Income,Has Dependents
Entry,Average,Healthcare,24,Very High,Medium,19013,0,Fair,Married,0,Low,0,Bachelor’s Degree,Male,0,9,0,Excellent,30,0,9070,4,18-25,Short,9.0,Average Promotion,High Income,Has Dependents
Mid,Average,Education,41,High,Small,7397,0,Good,Married,0,Medium,0,Master’s Degree,Male,2,2,0,Good,74,0,4264,0,36-45,Long,0.6666666666666666,Fast Promotion,Low Income,No Dependents
Entry,Average,Finance,43,Medium,Large,13519,0,Excellent,Married,0,Very High,1,Bachelor’s Degree,Female,0,22,0,Good,75,0,10809,3,36-45,Long,22.0,Stagnant (No Promos),High Income,Has Dependents
Entry,Below Average,Technology,33,High,Medium,65424,0,Good,Married,1,Low,1,High School,Male,0,3,0,Fair,74,0,6926,2,26-35,Long,3.0,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,50,High,Small,66808,0,Good,Married,0,Low,0,Associate Degree,Male,2,6,1,Poor,89,0,11709,3,46-55,Long,2.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Technology,24,High,Large,25274,0,Good,Married,0,High,0,Associate Degree,Male,0,1,0,Fair,92,0,10172,4,18-25,Long,1.0,Fast Promotion,High Income,Has Dependents
Senior,Below Average,Finance,32,High,Small,16078,0,Good,Divorced,1,High,0,High School,Female,1,1,0,Good,29,0,10120,1,26-35,Short,0.5,Fast Promotion,High Income,Has Dependents
Entry,Average,Finance,26,Medium,Small,43071,0,Good,Single,0,High,1,High School,Female,1,4,0,Poor,43,0,7376,1,26-35,Medium,2.0,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Media,19,Very High,Large,36540,0,Fair,Single,0,High,1,Associate Degree,Female,0,8,0,Fair,72,0,6005,4,18-25,Long,8.0,Average Promotion,Low Income,Has Dependents
Entry,Average,Education,41,High,Medium,9703,0,Good,Single,0,Low,1,High School,Female,1,2,0,Good,30,0,5551,0,36-45,Short,1.0,Fast Promotion,Low Income,No Dependents
Mid,High,Healthcare,36,High,Large,5864,0,Poor,Married,0,Medium,1,Bachelor’s Degree,Male,2,15,0,Fair,24,0,9363,3,36-45,Short,5.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Technology,36,High,Large,16282,0,Good,Married,1,Low,0,Associate Degree,Male,2,13,0,Excellent,15,0,10274,4,36-45,Short,4.333333333333333,Fast Promotion,High Income,Has Dependents
Entry,High,Technology,55,High,Small,49039,0,Poor,Married,0,Low,0,Master’s Degree,Male,1,45,0,Good,73,0,8182,3,46-55,Long,22.5,Stagnant (No Promos),Middle Income,Has Dependents
Entry,High,Healthcare,58,High,Large,40192,0,Good,Divorced,0,Low,1,Master’s Degree,Male,0,16,0,Fair,71,0,5408,0,56+,Long,16.0,Stagnant (No Promos),Low Income,No Dependents
Entry,High,Education,34,Very High,Medium,55605,0,Poor,Single,0,Medium,1,Associate Degree,Male,2,11,0,Good,5,0,5740,1,26-35,Short,3.6666666666666665,Fast Promotion,Low Income,Has Dependents
Senior,Below Average,Technology,27,Medium,Medium,53232,0,Good,Single,1,Low,0,Bachelor’s Degree,Male,1,13,0,Excellent,56,1,7743,0,26-35,Medium,6.5,Average Promotion,Middle Income,No Dependents
Mid,Average,Finance,36,Very High,Small,31655,0,Good,Divorced,1,High,1,Bachelor’s Degree,Female,0,17,0,Excellent,30,0,10778,0,36-45,Short,17.0,Stagnant (No Promos),High Income,No Dependents
Mid,Average,Technology,26,High,Medium,33014,0,Good,Single,1,Low,1,Associate Degree,Female,2,10,0,Poor,96,0,8733,0,26-35,Long,3.3333333333333335,Fast Promotion,High Income,No Dependents
Entry,Average,Media,20,High,Medium,12855,0,Fair,Married,0,High,1,PhD,Male,0,9,0,Fair,83,0,6105,0,18-25,Long,9.0,Average Promotion,Low Income,No Dependents
Entry,Average,Technology,20,High,Medium,20966,1,Good,Married,0,High,1,Bachelor’s Degree,Male,0,4,0,Excellent,78,0,7274,0,18-25,Long,4.0,Fast Promotion,Middle Income,No Dependents
Mid,Average,Education,22,Very High,Small,34357,0,Good,Married,0,Very High,0,Bachelor’s Degree,Female,0,12,0,Excellent,18,0,3859,2,18-25,Short,12.0,Average Promotion,Low Income,Has Dependents
Entry,Below Average,Healthcare,28,Medium,Medium,39508,0,Good,Married,0,Medium,1,Bachelor’s Degree,Male,0,8,0,Fair,68,0,8899,3,26-35,Long,8.0,Average Promotion,High Income,Has Dependents
Mid,Average,Media,40,High,Small,35144,0,Fair,Married,1,Low,0,High School,Male,1,10,0,Fair,4,0,5563,3,36-45,Short,5.0,Fast Promotion,Low Income,Has Dependents
Entry,Average,Media,41,High,Large,20206,0,Poor,Married,1,Medium,1,High School,Male,0,11,1,Poor,53,0,6295,2,36-45,Medium,11.0,Average Promotion,Middle Income,Has Dependents
Entry,Average,Finance,26,Very High,Large,28987,0,Good,Single,1,Low,1,Bachelor’s Degree,Female,0,18,0,Fair,9,0,7838,0,26-35,Short,18.0,Stagnant (No Promos),Middle Income,No Dependents
Mid,Average,Healthcare,37,Very High,Large,69693,0,Poor,Married,1,High,0,Master’s Degree,Male,1,3,0,Fair,41,0,8262,0,36-45,Medium,1.5,Fast Promotion,Middle Income,No Dependents
Mid,High,Media,39,High,Medium,17043,0,Good,Married,0,Low,0,Bachelor’s Degree,Female,2,17,1,Excellent,92,0,5842,0,36-45,Long,5.666666666666667,Average Promotion,Low Income,No Dependents
Entry,Average,Healthcare,31,High,Large,55888,0,Good,Divorced,0,Low,0,Master’s Degree,Male,1,4,0,Poor,42,0,9265,0,26-35,Medium,2.0,Fast Promotion,High Income,No Dependents
Entry,Average,Technology,43,High,Small,1838,0,Good,Divorced,0,Medium,0,Master’s Degree,Female,1,12,0,Fair,9,0,8484,5,36-45,Short,6.0,Average Promotion,High Income,Has Dependents
Mid,Average,Technology,20,Low,Large,49043,0,Fair,Single,0,Low,1,Associate Degree,Male,0,10,0,Poor,31,0,9731,4,18-25,Short,10.0,Average Promotion,High Income,Has Dependents
Entry,Average,Finance,51,Medium,Medium,60093,0,Good,Single,1,Low,1,Bachelor’s Degree,Female,0,22,0,Fair,73,1,8125,4,46-55,Long,22.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,High,Media,38,Low,Medium,36523,0,Excellent,Married,0,High,0,Master’s Degree,Female,2,7,0,Excellent,61,1,5856,0,36-45,Medium,2.3333333333333335,Fast Promotion,Low Income,No Dependents
Senior,Average,Healthcare,44,Very High,Small,49392,0,Good,Divorced,0,High,1,High School,Female,1,16,0,Fair,87,0,7131,1,36-45,Long,8.0,Average Promotion,Middle Income,Has Dependents
Mid,Average,Technology,52,High,Large,30191,0,Excellent,Married,0,High,0,Master’s Degree,Female,0,2,0,Excellent,63,0,10670,1,46-55,Medium,2.0,Fast Promotion,High Income,Has Dependents
Entry,Average,Healthcare,44,High,Medium,37321,0,Poor,Married,1,High,0,Bachelor’s Degree,Male,4,11,0,Good,78,1,7344,0,36-45,Long,2.2,Fast Promotion,Middle Income,No Dependents
Mid,Average,Finance,35,Medium,Small,11572,0,Good,Divorced,0,Low,0,High School,Male,0,5,0,Good,21,0,7756,4,26-35,Short,5.0,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,28,High,Medium,71560,0,Good,Single,0,High,0,High School,Male,1,18,0,Fair,53,1,12503,2,26-35,Medium,9.0,Average Promotion,High Income,Has Dependents
Senior,Average,Healthcare,54,High,Medium,7379,0,Poor,Married,0,Very High,0,Bachelor’s Degree,Female,3,11,0,Poor,58,0,8178,1,46-55,Medium,2.75,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,43,Medium,Small,73162,0,Fair,Single,0,Low,1,High School,Male,1,18,1,Fair,18,0,11023,4,36-45,Short,9.0,Average Promotion,High Income,Has Dependents
Senior,Average,Technology,52,High,Medium,54582,0,Good,Married,0,Low,0,Associate Degree,Male,0,23,0,Fair,42,0,9544,0,46-55,Medium,23.0,Stagnant (No Promos),High Income,No Dependents
Entry,Below Average,Education,35,High,Medium,25051,0,Good,Married,1,High,0,Associate Degree,Male,0,23,0,Excellent,13,0,5376,1,26-35,Short,23.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,Average,Finance,29,High,Medium,45534,0,Poor,Single,0,Low,1,Master’s Degree,Female,2,1,0,Poor,98,0,8473,1,26-35,Long,0.3333333333333333,Fast Promotion,High Income,Has Dependents
Entry,Below Average,Finance,57,Medium,Medium,67276,0,Good,Married,0,High,0,Master’s Degree,Female,1,49,0,Good,48,0,7803,0,56+,Medium,24.5,Stagnant (No Promos),Middle Income,No Dependents
Entry,Average,Media,57,Medium,Medium,69783,0,Good,Married,0,Medium,0,PhD,Male,0,5,1,Fair,59,1,6434,1,56+,Medium,5.0,Fast Promotion,Middle Income,Has Dependents
Senior,Average,Education,20,Very High,Small,9767,0,Poor,Married,0,Low,0,Bachelor’s Degree,Male,0,12,0,Fair,71,1,6160,3,18-25,Long,12.0,Average Promotion,Middle Income,Has Dependents
Senior,Average,Technology,33,Medium,Small,37722,0,Good,Married,1,Low,0,PhD,Female,2,10,0,Good,51,1,6569,2,26-35,Medium,3.3333333333333335,Fast Promotion,Middle Income,Has Dependents
Entry,Below Average,Healthcare,49,Low,Medium,23939,0,Good,Married,0,Low,1,Bachelor’s Degree,Female,2,37,0,Fair,85,1,7955,3,46-55,Long,12.333333333333334,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Average,Media,30,Very High,Small,8730,0,Poor,Married,1,Low,1,Bachelor’s Degree,Male,0,1,0,Poor,99,0,5576,3,26-35,Long,1.0,Fast Promotion,Low Income,Has Dependents
Mid,Below Average,Media,24,Very High,Medium,34203,0,Good,Married,0,Low,1,Associate Degree,Male,1,11,0,Fair,85,0,5550,0,18-25,Long,5.5,Average Promotion,Low Income,No Dependents
Mid,Average,Technology,31,High,Large,37173,0,Excellent,Married,1,Medium,0,Associate Degree,Male,0,5,0,Excellent,1,0,9892,0,26-35,Short,5.0,Fast Promotion,High Income,No Dependents
Mid,Below Average,Healthcare,58,High,Medium,10227,1,Fair,Married,0,High,0,Bachelor’s Degree,Male,1,25,0,Excellent,52,0,8591,0,56+,Medium,12.5,Stagnant (No Promos),High Income,No Dependents
Mid,Average,Technology,48,High,Medium,72120,0,Good,Married,1,Medium,0,Associate Degree,Female,0,28,0,Fair,72,1,7959,0,46-55,Long,28.0,Stagnant (No Promos),Middle Income,No Dependents
Mid,Below Average,Healthcare,42,High,Small,52223,0,Good,Married,0,Medium,0,High School,Male,1,26,0,Good,75,0,7472,0,36-45,Long,13.0,Stagnant (No Promos),Middle Income,No Dependents
Entry,Average,Healthcare,22,High,Small,68792,0,Poor,Married,0,High,0,Bachelor’s Degree,Male,0,14,0,Poor,37,1,8349,0,18-25,Medium,14.0,Stagnant (No Promos),Middle Income,No Dependents
Entry,Low,Finance,45,Low,Large,36252,0,Good,Divorced,0,Low,1,High School,Female,2,33,0,Good,49,0,11272,1,36-45,Medium,11.0,Average Promotion,High Income,Has Dependents
Mid,Average,Technology,43,Medium,Small,71824,0,Fair,Married,0,Low,0,Associate Degree,Male,0,13,0,Good,87,1,6503,1,36-45,Long,13.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Below Average,Technology,18,High,Medium,8720,0,Poor,Married,0,High,1,Associate Degree,Male,1,7,0,Fair,40,0,10004,1,18-25,Medium,3.5,Fast Promotion,High Income,Has Dependents
Mid,Average,Technology,49,Low,Medium,39913,0,Good,Married,0,High,1,High School,Male,2,11,0,Fair,82,0,10140,1,46-55,Long,3.6666666666666665,Fast Promotion,High Income,Has Dependents
Entry,Average,Healthcare,24,Very High,Medium,61622,0,Good,Single,0,Low,0,High School,Male,1,16,0,Good,54,1,6123,5,18-25,Medium,8.0,Average Promotion,Low Income,Has Dependents
Mid,Below Average,Education,42,High,Large,61196,0,Good,Married,0,Low,0,Associate Degree,Male,0,1,0,Good,39,0,5748,0,36-45,Medium,1.0,Fast Promotion,Low Income,No Dependents
Entry,High,Technology,40,High,Small,38169,0,Fair,Single,1,Low,1,Master’s Degree,Male,0,5,0,Good,7,0,9265,3,36-45,Short,5.0,Fast Promotion,High Income,Has Dependents
Entry,Below Average,Healthcare,18,Low,Large,45840,0,Good,Divorced,0,Medium,1,High School,Female,1,5,1,Fair,20,1,8685,4,18-25,Short,2.5,Fast Promotion,High Income,Has Dependents
Senior,Average,Media,55,Very High,Medium,66333,0,Poor,Single,0,Low,0,Master’s Degree,Male,1,27,0,Good,35,0,6041,0,46-55,Medium,13.5,Stagnant (No Promos),Low Income,No Dependents
Mid,Average,Technology,58,Medium,Large,13497,0,Good,Married,1,High,1,Associate Degree,Female,0,43,0,Good,58,0,10176,1,56+,Medium,43.0,Stagnant (No Promos),High Income,Has Dependents
Mid,Average,Technology,43,High,Large,38621,0,Fair,Married,0,Medium,0,Associate Degree,Female,4,3,0,Good,40,0,7026,4,36-45,Medium,0.6,Fast Promotion,Middle Income,Has Dependents
Entry,High,Media,48,Very High,Medium,62837,0,Good,Single,0,Low,1,Bachelor’s Degree,Male,0,19,1,Poor,91,0,6242,0,46-55,Long,19.0,Stagnant (No Promos),Middle Income,No Dependents
Senior,Average,Healthcare,48,High,Small,48509,0,Good,Single,0,High,0,Bachelor’s Degree,Female,0,38,0,Excellent,55,0,6607,2,46-55,Medium,38.0,Stagnant (No Promos),Middle Income,Has Dependents
Mid,Below Average,Finance,35,High,Medium,70701,0,Fair,Single,0,High,0,Bachelor’s Degree,Male,1,25,0,Fair,69,0,8038,0,26-35,Long,12.5,Stagnant (No Promos),Middle Income,No Dependents
Entry,Low,Education,28,Very High,Medium,68014,0,Excellent,Married,0,High,1,Bachelor’s Degree,Female,1,4,0,Poor,20,0,5935,1,26-35,Short,2.0,Fast Promotion,Low Income,Has Dependents
Mid,High,Education,53,High,Large,66143,0,Fair,Married,0,Low,0,Associate Degree,Male,4,36,0,Excellent,42,1,4025,3,46-55,Medium,7.2,Average Promotion,Low Income,Has Dependents
Senior,Average,Finance,44,Very High,Small,64634,0,Good,Single,0,Medium,0,Bachelor’s Degree,Female,0,7,0,Excellent,53,0,10329,1,36-45,Medium,7.0,Average Promotion,High Income,Has Dependents
Entry,Below Average,Media,25,High,Small,12846,0,Good,Married,1,Low,1,Associate Degree,Female,0,11,0,Excellent,51,0,5809,0,18-25,Medium,11.0,Average Promotion,Low Income,No Dependents
Mid,Average,Media,20,Medium,Medium,18468,0,Good,Married,0,Low,0,Master’s Degree,Female,0,7,0,Good,19,0,5650,0,18-25,Short,7.0,Average Promotion,Low Income,No Dependents
Entry,Average,Healthcare,58,Medium,Large,50981,0,Good,Divorced,0,Low,0,High School,Male,1,46,0,Fair,21,0,7442,3,56+,Short,23.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Average,Technology,22,High,Medium,51811,1,Fair,Single,0,Medium,1,High School,Female,0,4,0,Fair,2,0,8371,2,18-25,Short,4.0,Fast Promotion,Middle Income,Has Dependents
Entry,Below Average,Technology,55,High,Large,66306,0,Good,Married,0,Medium,1,High School,Female,1,20,0,Good,16,0,9323,5,46-55,Short,10.0,Average Promotion,High Income,Has Dependents
Entry,High,Healthcare,27,High,Large,9604,0,Good,Married,0,Medium,0,High School,Male,2,10,0,Fair,64,0,7036,0,26-35,Medium,3.3333333333333335,Fast Promotion,Middle Income,No Dependents
Mid,Average,Education,27,High,Small,51872,0,Good,Divorced,0,Medium,0,Bachelor’s Degree,Male,0,19,0,Fair,95,0,3342,2,26-35,Long,19.0,Stagnant (No Promos),Low Income,Has Dependents
Entry,High,Healthcare,45,High,Small,21747,0,Poor,Divorced,0,Low,0,Associate Degree,Male,0,13,0,Fair,63,1,8806,1,36-45,Medium,13.0,Stagnant (No Promos),High Income,Has Dependents
Mid,Average,Education,34,High,Small,41300,0,Good,Married,1,Low,1,Master’s Degree,Male,2,5,0,Poor,46,0,4599,0,26-35,Medium,1.6666666666666667,Fast Promotion,Low Income,No Dependents
Mid,High,Technology,39,Low,Medium,15834,0,Good,Married,1,Low,0,Associate Degree,Female,0,7,0,Good,29,0,8711,5,36-45,Short,7.0,Average Promotion,High Income,Has Dependents
Entry,Below Average,Media,32,High,Large,24998,0,Excellent,Married,0,Medium,1,Master’s Degree,Male,0,7,1,Excellent,83,0,6250,4,26-35,Long,7.0,Average Promotion,Middle Income,Has Dependents
Mid,High,Technology,55,High,Medium,15050,0,Poor,Single,1,Low,0,Master’s Degree,Male,0,28,0,Good,77,0,9537,0,46-55,Long,28.0,Stagnant (No Promos),High Income,No Dependents
Mid,High,Finance,20,High,Medium,15980,0,Good,Single,0,Low,0,Associate Degree,Female,3,11,0,Good,70,0,7214,0,18-25,Long,2.75,Fast Promotion,Middle Income,No Dependents
Senior,Average,Technology,46,Medium,Medium,6712,0,Good,Single,0,Medium,0,Associate Degree,Female,3,14,0,Good,40,1,8818,1,46-55,Medium,3.5,Fast Promotion,High Income,Has Dependents
Entry,Average,Education,31,Very High,Large,38869,0,Good,Married,0,Medium,1,Associate Degree,Male,0,14,0,Fair,95,0,4555,3,26-35,Long,14.0,Stagnant (No Promos),Low Income,Has Dependents
Senior,Average,Technology,44,High,Small,56156,0,Good,Divorced,0,Low,0,Bachelor’s Degree,Female,2,3,1,Fair,70,0,9596,5,36-45,Long,1.0,Fast Promotion,High Income,Has Dependents
Entry,Below Average,Finance,36,High,Medium,60660,0,Good,Single,0,Low,1,Bachelor’s Degree,Male,1,3,0,Fair,99,0,8366,4,36-45,Long,1.5,Fast Promotion,Middle Income,Has Dependents
Mid,Average,Technology,19,High,Large,72515,1,Good,Single,0,Medium,1,Bachelor’s Degree,Female,2,11,0,Good,56,0,9931,1,18-25,Medium,3.6666666666666665,Fast Promotion,High Income,Has Dependents
Entry,Average,Finance,27,High,Medium,61534,0,Excellent,Single,0,High,1,Associate Degree,Male,1,14,0,Fair,57,0,9942,4,26-35,Medium,7.0,Average Promotion,High Income,Has Dependents
Mid,Average,Media,43,Low,Large,57049,0,Good,Married,1,High,0,Associate Degree,Male,3,14,1,Fair,86,0,6548,3,36-45,Long,3.5,Fast Promotion,Middle Income,Has Dependents
Entry,Below Average,Technology,45,High,Medium,46316,0,Excellent,Married,0,Low,0,Associate Degree,Female,3,35,0,Good,5,0,8009,2,36-45,Short,8.75,Average Promotion,Middle Income,Has Dependents
Entry,High,Education,37,Medium,Small,2710,0,Good,Single,0,Low,0,Master’s Degree,Female,3,5,0,Good,14,0,4168,2,36-45,Short,1.25,Fast Promotion,Low Income,Has Dependents
Mid,Average,Education,41,Very High,Large,66855,0,Poor,Married,1,Medium,0,PhD,Female,0,33,0,Fair,2,0,6153,0,36-45,Short,33.0,Stagnant (No Promos),Middle Income,No Dependents
Entry,Average,Technology,24,Very High,Small,47330,0,Good,Single,0,Low,1,Master’s Degree,Female,2,2,0,Excellent,27,0,9756,3,18-25,Short,0.6666666666666666,Fast Promotion,High Income,Has Dependents
Entry,Below Average,Technology,29,Medium,Medium,43624,0,Good,Married,0,High,0,Bachelor’s Degree,Female,0,12,1,Excellent,71,1,8263,0,26-35,Long,12.0,Average Promotion,Middle Income,No Dependents
Senior,Average,Finance,46,High,Medium,8291,0,Good,Single,1,Low,1,High School,Female,0,32,0,Poor,14,0,11699,0,46-55,Short,32.0,Stagnant (No Promos),High Income,No Dependents
Entry,High,Finance,36,High,Medium,54539,0,Good,Divorced,1,High,0,Master’s Degree,Female,0,28,0,Poor,22,0,7047,3,36-45,Short,28.0,Stagnant (No Promos),Middle Income,Has Dependents
Senior,Low,Media,37,Medium,Medium,52389,0,Fair,Married,0,Medium,0,Master’s Degree,Female,2,14,0,Good,69,0,6135,4,36-45,Long,4.666666666666667,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,28,Very High,Medium,25757,0,Good,Married,0,High,1,Master’s Degree,Female,0,3,0,Excellent,18,0,7452,0,26-35,Short,3.0,Fast Promotion,Middle Income,No Dependents
Mid,Average,Technology,30,High,Large,18151,0,Fair,Single,0,High,0,Bachelor’s Degree,Female,0,1,0,Excellent,84,1,9706,2,26-35,Long,1.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Finance,52,High,Medium,21760,0,Poor,Married,0,Medium,0,Bachelor’s Degree,Female,0,2,0,Excellent,49,0,10315,0,46-55,Medium,2.0,Fast Promotion,High Income,No Dependents
Mid,Average,Healthcare,48,High,Medium,994,0,Good,Divorced,1,Very High,0,Associate Degree,Female,1,7,0,Poor,79,1,9955,2,46-55,Long,3.5,Fast Promotion,High Income,Has Dependents
Senior,Below Average,Healthcare,19,High,Medium,45841,0,Good,Single,1,Low,1,Bachelor’s Degree,Female,0,11,0,Fair,47,0,7762,0,18-25,Medium,11.0,Average Promotion,Middle Income,No Dependents
Entry,Average,Media,45,Very High,Small,33095,0,Excellent,Divorced,1,Medium,1,High School,Male,0,26,1,Poor,81,0,5797,1,36-45,Long,26.0,Stagnant (No Promos),Low Income,Has Dependents
Senior,Average,Technology,26,High,Small,12385,0,Fair,Married,0,Medium,0,Bachelor’s Degree,Male,0,18,0,Good,6,0,8750,4,26-35,Short,18.0,Stagnant (No Promos),High Income,Has Dependents
Mid,High,Technology,50,Very High,Medium,69475,0,Good,Single,1,Medium,1,Associate Degree,Female,0,12,0,Excellent,86,1,12344,4,46-55,Long,12.0,Average Promotion,High Income,Has Dependents
Entry,High,Finance,56,Medium,Medium,58957,0,Excellent,Divorced,0,Medium,0,High School,Male,0,28,1,Good,96,0,7307,3,56+,Long,28.0,Stagnant (No Promos),Middle Income,Has Dependents
Mid,Average,Technology,25,High,Medium,65617,0,Excellent,Single,0,Low,1,Bachelor’s Degree,Male,1,11,0,Good,67,0,11762,3,18-25,Long,5.5,Average Promotion,High Income,Has Dependents
Senior,Average,Finance,44,Medium,Small,12277,0,Good,Single,0,Low,0,PhD,Female,0,25,0,Good,60,0,7430,2,36-45,Medium,25.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Average,Media,50,Medium,Small,1351,0,Good,Single,1,Low,1,Bachelor’s Degree,Male,1,5,1,Poor,39,0,6317,1,46-55,Medium,2.5,Fast Promotion,Middle Income,Has Dependents
Entry,Average,Technology,31,High,Medium,25310,0,Good,Single,0,Medium,0,Bachelor’s Degree,Male,2,8,0,Good,39,1,10606,4,26-35,Medium,2.6666666666666665,Fast Promotion,High Income,Has Dependents
Senior,Low,Healthcare,30,High,Medium,11628,0,Good,Married,0,Low,0,High School,Male,0,5,0,Fair,35,0,9500,1,26-35,Medium,5.0,Fast Promotion,High Income,Has Dependents
Mid,Average,Media,50,High,Small,8553,0,Poor,Married,1,Medium,0,Associate Degree,Female,0,35,0,Good,64,1,6064,0,46-55,Medium,35.0,Stagnant (No Promos),Low Income,No Dependents
Mid,Average,Healthcare,41,High,Small,48706,0,Poor,Divorced,0,Low,0,Bachelor’s Degree,Male,0,16,0,Fair,81,0,7329,1,36-45,Long,16.0,Stagnant (No Promos),Middle Income,Has Dependents
Entry,Low,Technology,20,Very High,Small,40127,0,Good,Married,0,Medium,0,Master’s Degree,Male,1,4,0,Good,44,0,6905,2,18-25,Medium,2.0,Fast Promotion,Middle Income,Has Dependents
Mid,High,Technology,55,High,Large,29513,1,Fair,Divorced,0,High,0,Associate Degree,Female,1,37,0,Fair,12,0,6860,3,46-55,Short,18.5,Stagnant (No Promos),Middle Income,Has Dependents
Mid,Average,Media,59,High,Medium,63404,0,Good,Married,0,Medium,0,Associate Degree,Male,0,4,0,Excellent,2,1,5938,5,56+,Short,4.0,Fast Promotion,Low Income,Has Dependents
Entry,Average,Technology,48,Low,Medium,37989,0,Good,Married,1,Low,1,Associate Degree,Female,2,11,0,Good,44,0,11991,5,46-55,Medium,3.6666666666666665,Fast Promotion,High Income,Has Dependents
Mid,Below Average,Education,20,High,Medium,10807,0,Excellent,Divorced,0,Medium,1,High School,Male,1,3,1,Poor,12,0,4852,0,18-25,Short,1.5,Fast Promotion,Low Income,No Dependents
Entry,Below Average,Media,53,High,Large,25271,0,Good,Married,0,Low,1,Associate Degree,Female,0,12,0,Excellent,68,0,6270,1,46-55,Long,12.0,Average Promotion,Middle Income,Has Dependents
Entry,High,Education,34,Medium,Medium,15047,0,Good,Married,1,Low,1,High School,Male,0,23,0,Fair,80,0,3278,2,26-35,Long,23.0,Stagnant (No Promos),Low Income,Has Dependents
Mid,Below Average,Healthcare,18,High,Medium,20760,0,Good,Married,0,Medium,0,Associate Degree,Female,0,3,0,Good,62,1,7466,0,18-25,Medium,3.0,Fast Promotion,Middle Income,No Dependents
Senior,Average,Technology,33,Medium,Small,34090,0,Good,Married,1,Low,1,Bachelor’s Degree,Female,1,9,0,Fair,68,0,10374,1,26-35,Long,4.5,Fast Promotion,High Income,Has Dependents
Mid,Average,Technology,19,High,Medium,15267,0,Good,Single,1,Medium,1,High School,Female,0,8,0,Fair,79,0,8426,4,18-25,Long,8.0,Average Promotion,High Income,Has Dependents
Senior,High,Media,56,High,Medium,8503,0,Good,Married,1,Medium,0,High School,Male,1,6,0,Excellent,21,0,5376,0,56+,Short,3.0,Fast Promotion,Low Income,No Dependents
Mid,Below Average,Healthcare,52,Medium,Medium,10705,0,Fair,Single,0,High,1,Bachelor’s Degree,Male,2,31,0,Fair,87,0,7241,1,46-55,Long,10.333333333333334,Average Promotion,Middle Income,Has Dependents
Senior,Low,Technology,22,Medium,Small,43975,0,Poor,Divorced,0,Medium,1,Associate Degree,Female,1,14,1,Fair,59,0,7252,1,18-25,Medium,7.0,Average Promotion,Middle Income,Has Dependents
Entry,Average,Media,56,High,Small,12638,0,Fair,Married,0,Medium,0,High School,Female,3,43,0,Good,34,0,5538,2,56+,Short,10.75,Average Promotion,Low Income,Has Dependents
